Date,capped_ozone
2018-06-03,64.0
2018-06-04,67.0
2018-06-05,68.0
2018-06-06,69.0
2018-06-07,64.0
2018-06-08,59.0
2018-06-09,54.0
2018-06-10,46.0
2018-06-11,55.0
2018-06-12,56.0
2018-06-13,60.0
2018-06-14,60.0
2018-06-15,53.0
2018-06-16,62.0
2018-06-17,70.0
2018-06-18,70.0
2018-06-19,66.0
2018-06-20,65.0
2018-06-21,65.0
2018-06-22,59.0
2018-06-23,63.0
2018-06-24,57.0
2018-06-25,69.0
2018-06-26,69.0
2018-06-27,61.0
2018-06-28,55.0
2018-06-29,48.0
2018-06-30,54.0
2018-07-01,47.0
2018-07-02,62.0
2018-07-03,63.0
2018-07-04,58.0
2018-07-05,61.0
2018-07-06,57.0
2018-07-07,55.0
2018-07-08,75.0
2018-07-09,72.0
2018-07-10,69.0
2018-07-11,64.0
2018-07-12,64.0
2018-07-13,50.0
2018-07-14,62.0
2018-07-15,65.0
2018-07-16,63.0
2018-07-17,61.0
2018-07-18,59.0
2018-07-19,59.0
2018-07-20,64.0
2018-07-21,60.0
2018-07-22,63.0
2018-07-23,67.0
2018-07-24,67.0
2018-07-25,66.0
2018-07-26,66.0
2018-07-27,65.0
2018-07-28,65.0
2018-07-29,71.0
2018-07-30,69.0
2018-07-31,67.0
2018-08-01,64.0
2018-08-02,60.0
2018-08-03,66.0
2018-08-04,60.0
2018-08-05,56.0
2018-08-06,68.0
2018-08-07,65.0
2018-08-08,62.0
2018-08-09,70.0
2018-08-10,72.0
2018-08-11,60.0
2018-08-12,63.0
2018-08-13,68.0
2018-08-14,82.0
2018-08-15,80.0
2018-08-16,75.0
2018-08-17,77.0
2018-08-18,78.0
2018-08-19,77.0
2018-08-20,76.0
2018-08-21,74.0
2018-08-22,81.0
2018-08-23,78.0
2018-08-24,76.0
2018-08-25,78.0
2018-08-26,77.0
2018-08-27,76.0
2018-08-28,74.0
2018-08-29,71.0
2018-08-30,70.0
2018-08-31,49.0
2018-09-01,56.0
2018-09-02,81.0
2018-09-03,70.0
2018-09-04,47.0
2018-09-05,50.0
2018-09-06,50.0
2018-09-07,60.0
2018-09-08,58.0
2018-09-09,69.0
2018-09-10,66.0
2018-09-11,54.0
2018-09-12,56.0
2018-09-13,65.0
2018-09-14,71.0
2018-09-15,52.0
2018-09-16,86.0
2018-09-17,82.0
2018-09-18,45.0
2018-09-19,66.0
2018-09-20,53.0
2018-09-21,58.0
2018-09-22,49.0
2018-09-23,67.0
2018-09-24,72.0
2018-09-25,77.0
2018-09-26,77.0
2018-09-27,64.0
2018-09-28,63.0
2018-09-29,65.0
2018-09-30,69.0
2018-10-01,72.0
2018-10-02,57.0
2018-10-03,58.0
2018-10-04,57.0
2018-10-05,52.0
2018-10-06,72.0
2018-10-07,61.0
2018-10-08,58.0
2018-10-09,64.0
2018-10-10,64.0
2018-10-11,69.0
2018-10-12,81.0
2018-10-13,59.0
2018-10-14,64.0
2018-10-15,59.0
2018-10-16,65.0
2018-10-17,71.0
2018-10-18,63.0
2018-10-19,70.0
2018-10-20,53.0
2018-10-21,53.0
2018-10-22,55.0
2018-10-23,51.0
2018-10-24,53.0
2018-10-25,58.0
2018-10-26,62.0
2018-10-27,67.0
2018-10-28,52.0
2018-10-29,75.0
2018-10-30,62.0
2018-10-31,54.0
2018-11-01,70.0
2018-11-02,64.0
2018-11-03,60.0
2018-11-04,62.0
2018-11-05,58.0
2018-11-06,65.0
2018-11-07,59.0
2018-11-08,35.0
2018-11-09,50.0
2018-11-10,54.0
2018-11-11,46.0
2018-11-12,43.0
2018-11-13,54.0
2018-11-14,60.0
2018-11-15,69.0
2018-11-16,77.0
2018-11-17,65.0
2018-11-18,61.0
2018-11-19,61.0
2018-11-20,77.0
2018-11-21,62.0
2018-11-22,61.0
2018-11-23,75.0
2018-11-24,59.0
2018-11-25,92.0
2018-11-26,71.0
2018-11-27,29.0
2018-11-28,20.0
2018-11-29,20.0
2018-11-30,20.0
2018-12-01,20.0
2018-12-02,20.0
2018-12-03,20.0
2018-12-04,20.0
2018-12-05,20.0
2018-12-06,20.0
2018-12-07,20.0
2018-12-08,20.0
2018-12-09,20.0
2018-12-10,20.0
2018-12-11,20.0
2018-12-12,20.0
2018-12-13,20.0
2018-12-14,20.0
2018-12-15,20.0
2018-12-16,20.0
2018-12-17,20.0
2018-12-18,20.0
2018-12-19,20.0
2018-12-20,20.0
2018-12-21,20.0
2018-12-22,20.0
2018-12-23,20.0
2018-12-24,20.0
2018-12-25,20.0
2018-12-26,20.0
2018-12-27,20.0
2018-12-28,20.0
2018-12-29,20.0
2018-12-30,20.0
2018-12-31,20.0
2019-01-01,32.0
2019-01-02,34.0
2019-01-03,34.0
2019-01-04,37.0
2019-01-05,29.0
2019-01-06,28.0
2019-01-07,34.0
2019-01-08,29.0
2019-01-09,52.0
2019-01-10,50.0
2019-01-11,31.0
2019-01-12,44.0
2019-01-13,44.0
2019-01-14,33.0
2019-01-15,32.0
2019-01-16,37.0
2019-01-17,35.0
2019-01-18,27.0
2019-01-19,31.0
2019-01-20,37.0
2019-01-21,35.0
2019-01-22,34.0
2019-01-23,31.0
2019-01-24,35.0
2019-01-25,37.0
2019-01-26,29.0
2019-01-27,27.0
2019-01-28,26.0
2019-01-29,39.0
2019-01-30,41.0
2019-01-31,45.0
2019-02-01,41.0
2019-02-02,36.0
2019-02-03,20.0
2019-02-04,56.0
2019-02-05,38.0
2019-02-06,41.0
2019-02-07,37.0
2019-02-08,40.0
2019-02-09,37.0
2019-02-10,40.0
2019-02-11,30.0
2019-02-12,20.0
2019-02-13,23.0
2019-02-14,67.0
2019-02-15,40.0
2019-02-16,35.0
2019-02-17,48.0
2019-02-18,40.0
2019-02-19,43.0
2019-02-20,66.0
2019-02-21,37.0
2019-02-22,38.0
2019-02-23,36.0
2019-02-24,45.0
2019-02-25,46.0
2019-02-26,46.0
2019-02-27,42.0
2019-02-28,48.0
2019-03-01,56.0
2019-03-02,52.0
2019-03-03,50.0
2019-03-04,38.0
2019-03-05,36.0
2019-03-06,52.0
2019-03-07,44.0
2019-03-08,43.0
2019-03-09,54.0
2019-03-10,48.0
2019-03-11,54.0
2019-03-12,20.0
2019-03-13,20.0
2019-03-14,39.0
2019-03-15,51.0
2019-03-16,56.0
2019-03-17,51.0
2019-03-18,45.0
2019-03-19,37.0
2019-03-20,49.0
2019-03-21,56.0
2019-03-22,50.0
2019-03-23,42.0
2019-03-24,53.0
2019-03-25,51.0
2019-03-26,50.0
2019-03-27,49.0
2019-03-28,39.0
2019-03-29,44.0
2019-03-30,45.0
2019-03-31,45.0
2019-04-01,40.0
2019-04-02,50.0
2019-04-03,50.0
2019-04-04,52.0
2019-04-05,53.0
2019-04-06,43.0
2019-04-07,41.0
2019-04-08,20.0
2019-04-09,49.0
2019-04-10,53.0
2019-04-11,56.0
2019-04-12,63.0
2019-04-13,49.0
2019-04-14,50.0
2019-04-15,54.0
2019-04-16,61.0
2019-04-17,58.0
2019-04-18,60.0
2019-04-19,62.0
2019-04-20,66.0
2019-04-21,65.0
2019-04-22,50.0
2019-04-23,50.0
2019-04-24,53.0
2019-04-25,51.0
2019-04-26,54.0
2019-04-27,44.0
2019-04-28,58.0
2019-04-29,57.0
2019-04-30,57.0
2019-05-01,51.0
2019-05-02,55.0
2019-05-03,53.0
2019-05-04,62.0
2019-05-05,61.0
2019-05-06,37.0
2019-05-07,50.0
2019-05-08,55.0
2019-05-09,61.0
2019-05-10,59.0
2019-05-11,67.0
2019-05-12,60.0
2019-05-13,67.0
2019-05-14,57.0
2019-05-15,59.0
2019-05-16,63.0
2019-05-17,63.0
2019-05-18,62.0
2019-05-19,60.0
2019-05-20,64.0
2019-05-21,63.0
2019-05-22,62.0
2019-05-23,61.0
2019-05-24,48.0
2019-05-25,59.0
2019-05-26,64.0
2019-05-27,48.0
2019-05-28,66.0
2019-05-29,65.0
2019-05-30,57.0
2019-05-31,66.0
2019-06-01,65.0
2019-06-02,60.0
2019-06-03,58.0
2019-06-04,52.0
2019-06-05,65.0
2019-06-06,62.0
2019-06-07,64.0
2019-06-08,69.0
2019-06-09,66.0
2019-06-10,71.0
2019-06-11,60.0
2019-06-12,44.0
2019-06-13,52.0
2019-06-14,51.0
2019-06-15,65.0
2019-06-16,66.0
2019-06-17,66.0
2019-06-18,64.0
2019-06-19,48.0
2019-06-20,64.0
2019-06-21,60.0
2019-06-22,61.0
2019-06-23,64.0
2019-06-24,63.0
2019-06-25,45.0
2019-06-26,54.0
2019-06-27,47.0
2019-06-28,56.0
2019-06-29,46.0
2019-06-30,55.0
2019-07-01,53.0
2019-07-02,59.0
2019-07-03,53.0
2019-07-04,70.0
2019-07-05,61.0
2019-07-06,60.0
2019-07-07,59.0
2019-07-08,70.0
2019-07-09,65.0
2019-07-10,62.0
2019-07-11,60.0
2019-07-12,61.0
2019-07-13,65.0
2019-07-14,68.0
2019-07-15,69.0
2019-07-16,69.0
2019-07-17,71.0
2019-07-18,72.0
2019-07-19,66.0
2019-07-20,69.0
2019-07-21,67.0
2019-07-22,58.0
2019-07-23,46.0
2019-07-24,48.0
2019-07-25,43.0
2019-07-26,61.0
2019-07-27,65.0
2019-07-28,61.0
2019-07-29,56.0
2019-07-30,69.0
2019-07-31,68.0
2019-08-01,61.0
2019-08-02,75.0
2019-08-03,73.0
2019-08-04,73.0
2019-08-05,73.0
2019-08-06,71.0
2019-08-07,66.0
2019-08-08,68.0
2019-08-09,67.0
2019-08-10,73.0
2019-08-11,75.0
2019-08-12,74.0
2019-08-13,72.0
2019-08-14,69.0
2019-08-15,70.0
2019-08-16,71.0
2019-08-17,73.0
2019-08-18,50.0
2019-08-19,62.0
2019-08-20,67.0
2019-08-21,75.0
2019-08-22,69.0
2019-08-23,67.0
2019-08-24,70.0
2019-08-25,74.0
2019-08-26,71.0
2019-08-27,72.0
2019-08-28,66.0
2019-08-29,66.0
2019-08-30,66.0
2019-08-31,69.0
2019-09-01,76.0
2019-09-02,79.0
2019-09-03,64.0
2019-09-04,68.0
2019-09-05,73.0
2019-09-06,73.0
2019-09-07,67.0
2019-09-08,73.0
2019-09-09,72.0
2019-09-10,57.0
2019-09-11,67.0
2019-09-12,65.0
2019-09-13,59.0
2019-09-14,66.0
2019-09-15,67.0
2019-09-16,65.0
2019-09-17,63.0
2019-09-18,64.0
2019-09-19,62.0
2019-09-20,61.0
2019-09-21,64.0
2019-09-22,64.0
2019-09-23,71.0
2019-09-24,71.0
2019-09-25,68.0
2019-09-26,67.0
2019-09-27,63.0
2019-09-28,61.0
2019-09-29,53.0
2019-09-30,77.0
2019-10-01,66.0
2019-10-02,67.0
2019-10-03,63.0
2019-10-04,67.0
2019-10-05,58.0
2019-10-06,69.0
2019-10-07,59.0
2019-10-08,64.0
2019-10-09,70.0
2019-10-10,56.0
2019-10-11,57.0
2019-10-12,63.0
2019-10-13,62.0
2019-10-14,61.0
2019-10-15,63.0
2019-10-16,60.0
2019-10-17,64.0
2019-10-18,62.0
2019-10-19,70.0
2019-10-20,56.0
2019-10-21,68.0
2019-10-22,54.0
2019-10-23,65.0
2019-10-24,63.0
2019-10-25,60.0
2019-10-26,60.0
2019-10-27,56.0
2019-10-28,61.0
2019-10-29,56.0
2019-10-30,56.0
2019-10-31,61.0
2019-11-01,57.0
2019-11-02,55.0
2019-11-03,60.0
2019-11-04,61.0
2019-11-05,65.0
2019-11-06,74.0
2019-11-07,81.0
2019-11-08,71.0
2019-11-09,55.0
2019-11-10,72.0
2019-11-11,78.0
2019-11-12,59.0
2019-11-13,54.0
2019-11-14,61.0
2019-11-15,51.0
2019-11-16,55.0
2019-11-17,54.0
2019-11-18,77.0
2019-11-19,50.0
2019-11-20,50.0
2019-11-21,55.0
2019-11-22,44.0
2019-11-23,50.0
2019-11-24,59.0
2019-11-25,59.0
2019-11-26,77.0
2019-11-27,38.0
2019-11-28,65.0
2019-11-29,65.0
2019-11-30,53.0
2019-12-01,42.0
2019-12-02,43.0
2019-12-03,73.0
2019-12-04,87.0
2019-12-05,91.0
2019-12-06,92.0
2019-12-07,44.0
2019-12-08,79.0
2019-12-09,56.0
2019-12-10,51.0
2019-12-11,69.0
2019-12-12,60.0
2019-12-13,55.0
2019-12-14,48.0
2019-12-15,49.0
2019-12-16,47.0
2019-12-17,61.0
2019-12-18,47.0
2019-12-19,49.0
2019-12-20,42.0
2019-12-21,43.0
2019-12-22,45.0
2019-12-23,37.0
2019-12-24,46.0
2019-12-25,44.0
2019-12-26,51.0
2019-12-27,43.0
2019-12-28,45.0
2019-12-29,41.0
2019-12-30,52.0
2019-12-31,56.0
2020-01-01,42.0
2020-01-02,42.0
2020-01-03,65.0
2020-01-04,42.0
2020-01-05,49.0
2020-01-06,50.0
2020-01-07,39.0
2020-01-08,38.0
2020-01-09,34.0
2020-01-10,37.0
2020-01-11,40.0
2020-01-12,54.0
2020-01-13,37.0
2020-01-14,37.0
2020-01-15,58.0
2020-01-16,61.0
2020-01-17,50.0
2020-01-18,53.0
2020-01-19,44.0
2020-01-20,56.0
2020-01-21,49.0
2020-01-22,39.0
2020-01-23,31.0
2020-01-24,50.0
2020-01-25,58.0
2020-01-26,33.0
2020-01-27,39.0
2020-01-28,36.0
2020-01-29,26.0
2020-01-30,44.0
2020-01-31,41.0
2020-02-01,54.0
2020-02-02,47.0
2020-02-03,31.0
2020-02-04,56.0
2020-02-05,61.0
2020-02-06,43.0
2020-02-07,53.0
2020-02-08,49.0
2020-02-09,45.0
2020-02-10,46.0
2020-02-11,45.0
2020-02-12,89.0
2020-02-13,48.0
2020-02-14,84.0
2020-02-15,46.0
2020-02-16,49.0
2020-02-17,59.0
2020-02-18,65.0
2020-02-19,37.0
2020-02-20,49.0
2020-02-21,53.0
2020-02-22,43.0
2020-02-23,46.0
2020-02-24,57.0
2020-02-25,64.0
2020-02-26,68.0
2020-02-27,59.0
2020-02-28,64.0
2020-02-29,44.0
2020-03-01,54.0
2020-03-02,48.0
2020-03-03,47.0
2020-03-04,43.0
2020-03-05,51.0
2020-03-06,56.0
2020-03-07,58.0
2020-03-08,59.0
2020-03-09,47.0
2020-03-10,46.0
2020-03-11,38.0
2020-03-12,59.0
2020-03-13,50.0
2020-03-14,59.0
2020-03-15,58.0
2020-03-16,48.0
2020-03-17,49.0
2020-03-18,50.0
2020-03-19,48.0
2020-03-20,46.0
2020-03-21,49.0
2020-03-22,37.0
2020-03-23,43.0
2020-03-24,55.0
2020-03-25,45.0
2020-03-26,47.0
2020-03-27,50.0
2020-03-28,54.0
2020-03-29,53.0
2020-03-30,54.0
2020-03-31,53.0
2020-04-01,56.0
2020-04-02,45.0
2020-04-03,57.0
2020-04-04,48.0
2020-04-05,54.0
2020-04-06,53.0
2020-04-07,66.0
2020-04-08,51.0
2020-04-09,51.0
2020-04-10,50.0
2020-04-11,60.0
2020-04-12,49.0
2020-04-13,65.0
2020-04-14,57.0
2020-04-15,60.0
2020-04-16,51.0
2020-04-17,53.0
2020-04-18,60.0
2020-04-19,50.0
2020-04-20,50.0
2020-04-21,31.0
2020-04-22,53.0
2020-04-23,53.0
2020-04-24,52.0
2020-04-25,52.0
2020-04-26,53.0
2020-04-27,52.0
2020-04-28,57.0
2020-04-29,58.0
2020-04-30,56.0
2020-05-01,51.0
2020-05-02,53.0
2020-05-03,47.0
2020-05-04,60.0
2020-05-05,57.0
2020-05-06,55.0
2020-05-07,48.0
2020-05-08,53.0
2020-05-09,52.0
2020-05-10,47.0
2020-05-11,45.0
2020-05-12,53.0
2020-05-13,53.0
2020-05-14,50.0
2020-05-15,39.0
2020-05-16,49.0
2020-05-17,55.0
2020-05-18,50.0
2020-05-19,52.0
2020-05-20,51.0
2020-05-21,50.0
2020-05-22,53.0
2020-05-23,38.0
2020-05-24,53.0
2020-05-25,53.0
2020-05-26,44.0
2020-05-27,36.0
2020-05-28,26.0
2020-05-29,20.0
2020-05-30,20.0
2020-05-31,20.0
2020-06-01,20.0
2020-06-02,20.0
2020-06-03,20.0
2020-06-04,20.0
2020-06-05,20.0
2020-06-06,20.0
2020-06-07,20.0
2020-06-08,59.0
2020-06-09,60.0
2020-06-10,56.0
2020-06-11,57.0
2020-06-12,55.0
2020-06-13,38.0
2020-06-14,55.0
2020-06-15,62.0
2020-06-16,57.0
2020-06-17,61.0
2020-06-18,58.0
2020-06-19,67.0
2020-06-20,49.0
2020-06-21,52.0
2020-06-22,59.0
2020-06-23,55.0
2020-06-24,57.0
2020-06-25,68.0
2020-06-26,63.0
2020-06-27,62.0
2020-06-28,61.0
2020-06-29,53.0
2020-06-30,47.0
2020-07-01,54.0
2020-07-02,62.0
2020-07-03,61.0
2020-07-04,58.0
2020-07-05,67.0
2020-07-06,66.0
2020-07-07,66.0
2020-07-08,71.0
2020-07-09,64.0
2020-07-10,56.0
2020-07-11,61.0
2020-07-12,63.0
2020-07-13,61.0
2020-07-14,40.0
2020-07-15,64.0
2020-07-16,63.0
2020-07-17,62.0
2020-07-18,48.0
2020-07-19,64.0
2020-07-20,48.0
2020-07-21,63.0
2020-07-22,73.0
2020-07-23,72.0
2020-07-24,68.0
2020-07-25,69.0
2020-07-26,65.0
2020-07-27,57.0
2020-07-28,64.0
2020-07-29,64.0
2020-07-30,59.0
2020-07-31,67.0
2020-08-01,65.0
2020-08-02,65.0
2020-08-03,56.0
2020-08-04,58.0
2020-08-05,61.0
2020-08-06,58.0
2020-08-07,68.0
2020-08-08,68.0
2020-08-09,70.0
2020-08-10,63.0
2020-08-11,62.0
2020-08-12,60.0
2020-08-13,65.0
2020-08-14,58.0
2020-08-15,60.0
2020-08-16,50.0
2020-08-17,58.0
2020-08-18,66.0
2020-08-19,76.0
2020-08-20,78.0
2020-08-21,71.0
2020-08-22,66.0
2020-08-23,66.0
2020-08-24,68.0
2020-08-25,74.0
2020-08-26,71.0
2020-08-27,69.0
2020-08-28,65.0
2020-08-29,65.0
2020-08-30,67.0
2020-08-31,66.0
2020-09-01,67.0
2020-09-02,62.0
2020-09-03,54.0
2020-09-04,60.0
2020-09-05,71.0
2020-09-06,66.0
2020-09-07,62.0
2020-09-08,64.0
2020-09-09,64.0
2020-09-10,67.0
2020-09-11,61.0
2020-09-12,63.0
2020-09-13,65.0
2020-09-14,68.0
2020-09-15,63.0
2020-09-16,66.0
2020-09-17,57.0
2020-09-18,68.0
2020-09-19,66.0
2020-09-20,57.0
2020-09-21,64.0
2020-09-22,61.0
2020-09-23,56.0
2020-09-24,59.0
2020-09-25,62.0
2020-09-26,72.0
2020-09-27,65.0
2020-09-28,66.0
2020-09-29,70.0
2020-09-30,62.0
2020-10-01,63.0
2020-10-02,63.0
2020-10-03,60.0
2020-10-04,57.0
2020-10-05,62.0
2020-10-06,64.0
2020-10-07,63.0
2020-10-08,64.0
2020-10-09,60.0
2020-10-10,64.0
2020-10-11,61.0
2020-10-12,57.0
2020-10-13,59.0
2020-10-14,63.0
2020-10-15,45.0
2020-10-16,55.0
2020-10-17,59.0
2020-10-18,77.0
2020-10-19,47.0
2020-10-20,52.0
2020-10-21,53.0
2020-10-22,67.0
2020-10-23,57.0
2020-10-24,57.0
2020-10-25,56.0
2020-10-26,61.0
2020-10-27,45.0
2020-10-28,52.0
2020-10-29,62.0
2020-10-30,53.0
2020-10-31,55.0
2020-11-01,63.0
2020-11-02,85.0
2020-11-03,44.0
2020-11-04,46.0
2020-11-05,70.0
2020-11-06,62.0
2020-11-07,59.0
2020-11-08,59.0
2020-11-09,47.0
2020-11-10,51.0
2020-11-11,49.0
2020-11-12,44.0
2020-11-13,48.0
2020-11-14,51.0
2020-11-15,44.0
2020-11-16,47.0
2020-11-17,45.0
2020-11-18,61.0
2020-11-19,51.0
2020-11-20,51.0
2020-11-21,46.0
2020-11-22,50.0
2020-11-23,52.0
2020-11-24,43.0
2020-11-25,59.0
2020-11-26,48.0
2020-11-27,48.0
2020-11-28,49.0
2020-11-29,51.0
2020-11-30,45.0
2020-12-01,43.0
2020-12-02,75.0
2020-12-03,45.0
2020-12-04,41.0
2020-12-05,42.0
2020-12-06,38.0
2020-12-07,38.0
2020-12-08,27.0
2020-12-09,54.0
2020-12-10,52.0
2020-12-11,41.0
2020-12-12,37.0
2020-12-13,40.0
2020-12-14,68.0
2020-12-15,53.0
2020-12-16,42.0
2020-12-17,48.0
2020-12-18,50.0
2020-12-19,73.0
2020-12-20,53.0
2020-12-21,56.0
2020-12-22,45.0
2020-12-23,46.0
2020-12-24,59.0
2020-12-25,34.0
2020-12-26,38.0
2020-12-27,37.0
2020-12-28,42.0
2020-12-29,34.0
2020-12-30,38.0
2020-12-31,58.0
2021-01-01,46.0
